City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,flying fish cove,-10.4217,105.6791,23.82,83,75,5.66,CX,1694972096
118,santa ponsa,39.5087,2.4766,28.44,71,38,2.3,ES,1694971671
119,canto del llano,8.1761,-80.973,28.84,70,100,0.45,PA,1694972096
120,melekeok village,7.4957,134.6367,26.31,89,75,0.0,PW,1694972096
121,eyl,7.9803,49.8164,26.02,72,28,10.94,SO,1694972096
122,macapa,0.0389,-51.0664,33.99,52,40,5.66,BR,1694972096
123,soto la marina,23.7667,-98.2167,35.2,41,49,2.84,MX,1694972096
124,puerto ayora,-0.7393,-90.3518,26.98,91,94,3.13,EC,1694972097
125,mahibadhoo,3.7833,72.9667,27.57,80,92,4.84,MV,1694972097
126,hawaiian paradise park,19.5933,-154.9731,22.8,97,75,2.57,US,1694972097
127,vila velha,-20.3297,-40.2925,27.97,75,20,7.2,BR,1694972016
128,grand falls-windsor,48.9332,-55.6649,21.95,71,29,4.02,CA,1694972097
129,avarua,-21.2078,-159.775,21.03,83,75,1.03,CK,1694972097
130,san mariano,7.5,126.0,22.39,95,56,1.14,PH,1694972097
131,eaton rapids,42.5092,-84.6558,22.44,70,75,3.6,US,1694972098
132,hobyo,5.3505,48.5268,25.46,80,97,11.82,SO,1694972098
133,chippewa falls,44.9369,-91.3929,21.05,59,0,2.57,US,1694971856
134,kiama,-34.6833,150.8667,15.56,88,0,1.42,AU,1694971856
135,deqen,29.9618,90.7188,9.07,83,92,0.53,CN,1694971856
136,alo,7.4178,6.7371,24.47,94,94,1.81,NG,1694972098
137,bethel,41.3712,-73.414,25.11,51,0,3.09,US,1694972099
138,anadyr,64.75,177.4833,0.28,100,20,3.0,RU,1694972099
139,remire-montjoly,4.9167,-52.2667,34.02,52,0,4.63,GF,1694972099
140,tondano,1.3038,124.9112,21.05,95,99,1.63,ID,1694971857
141,lata,40.1629,-8.3327,19.9,89,99,3.16,PT,1694972099
142,tsagan aman,47.5639,46.7218,15.82,55,72,2.91,RU,1694972099
143,emmett,43.8735,-116.4993,27.88,12,1,3.62,US,1694972099
144,peace river,56.2501,-117.286,14.17,67,0,2.57,CA,1694972099
145,mocoreta,-30.6189,-57.9634,32.17,50,15,5.34,AR,1694972100
146,east london,-33.0153,27.9116,15.52,67,0,6.69,ZA,1694972100
147,touba,8.2833,-7.6833,23.58,91,100,1.17,CI,1694972100
